reflection_strength,delta_theta,theta_incoming,theta_outgoing
-43.2109875,0,0,0
-41.17286409,45,45,0
-42.59927612,90,90,0
-36.31103738,135,135,0
-10.14413848,180,180,0
-11.29188344,180,-135,45
-38.05592684,0,45,45
-42.74152515,45,90,45
-37.89112021,90,135,45
-40.82062436,45,0,45
-43.4311118,90,-45,45
-36.60802128,135,-90,45
-37.41714927,135,-135,90
-9.896780046,180,-90,90
-34.27654151,0,90,90
-39.84308178,45,135,90
-43.98090097,90,180,90
-42.67261851,90,0,90
-39.0369559,45,45,90
-36.21363077,135,-45,90
-37.05582929,135,-90,135
-12.32239948,180,-45,135
-39.57255729,0,135,135
-41.43273774,45,180,135
-40.73769992,90,-135,135
-36.47911241,135,0,135
-40.13783066,90,45,135
-44.33515192,45,90,135
-40.83113991,0,180,180
-43.48324547,45,135,180
-40.53251952,90,90,180
-37.39440684,135,45,180
-9.911839958,180,0,180
-36.78274104,135,180,45
-41.17286409,45,-45,0
-42.59927612,90,-90,0
-36.31103738,135,-135,0
-10.14413848,180,-180,0
-11.29188344,180,135,-45
-38.05592684,0,-45,-45
-42.74152515,45,-90,-45
-37.89112021,90,-135,-45
-40.82062436,45,0,-45
-43.4311118,90,45,-45
-36.60802128,135,90,-45
-37.41714927,135,135,-90
-9.896780046,180,90,-90
-34.27654151,0,-90,-90
-39.84308178,45,-135,-90
-43.98090097,90,-180,-90
-42.67261851,90,0,-90
-39.0369559,45,-45,-90
-36.21363077,135,45,-90
-37.05582929,135,90,-135
-12.32239948,180,45,-135
-39.57255729,0,-135,-135
-41.43273774,45,-180,-135
-40.73769992,90,135,-135
-36.47911241,135,0,-135
-40.13783066,90,-45,-135
-44.33515192,45,-90,-135
-40.83113991,0,-180,-180
-43.48324547,45,-135,-180
-40.53251952,90,-90,-180
-37.39440684,135,-45,-180
-9.911839958,180,0,-180
-36.78274104,135,-180,-45
-40.83113991,0,180,-180
-43.48324547,45,135,-180
-40.53251952,90,90,-180
-37.39440684,135,45,-180
-40.83113991,0,-180,180
-43.48324547,45,-135,180
-40.53251952,90,-90,180
-37.39440684,135,-45,180
-43.98090097,90,-180,90
-41.43273774,45,-180,135
-36.78274104,135,-180,45
-43.98090097,90,180,-90
-41.43273774,45,180,-135
-36.78274104,135,180,-45
