,deltatheta,dB_release
0,0.0,0.0
1,0.469387755102,-0.155577515226
2,0.938775510204,-0.32696836224
3,1.40816326531,-0.514172541042
4,1.87755102041,-0.717190051633
5,2.34693877551,-0.936020894013
6,2.81632653061,-1.17066506818
7,3.28571428571,-1.42112257414
8,3.75510204082,-1.68739341188
9,4.22448979592,-1.96947758141
10,4.69387755102,-2.26737508273
11,5.16326530612,-2.58108591584
12,5.63265306122,-2.91061008074
13,6.10204081633,-3.25594757743
14,6.57142857143,-3.6170984059
15,7.04081632653,-3.99406256617
16,7.51020408163,-4.38684005822
17,7.97959183673,-4.79543088206
18,8.44897959184,-5.21983503769
19,8.91836734694,-5.6600525251
20,9.38775510204,-6.11608334431
21,9.85714285714,-6.5879274953
22,10.3265306122,-7.07558497808
23,10.7959183673,-7.57905579265
24,11.2653061224,-8.09833993901
25,11.7346938776,-8.63343741716
26,12.2040816327,-9.18434822709
27,12.6734693878,-9.75107236882
28,13.1428571429,-10.3336098423
29,13.612244898,-10.9319606476
30,14.0816326531,-11.5461247847
31,14.5510204082,-12.1761022536
32,15.0204081633,-12.8218930543
33,15.4897959184,-13.4834971867
34,15.9591836735,-14.160914651
35,16.4285714286,-14.854145447
36,16.8979591837,-15.5631895748
37,17.3673469388,-16.2880470344
38,17.8367346939,-17.0287178258
39,18.306122449,-17.785201949
40,18.7755102041,-18.557499404
41,19.2448979592,-19.3456101907
42,19.7142857143,-20.1495343093
43,20.1836734694,-20.9692717596
44,20.6530612245,-21.8048225417
45,21.1224489796,-22.6561866557
46,21.5918367347,-23.5233641014
47,22.0612244898,-24.4063548789
48,22.5306122449,-25.3051589881
49,23.0,-26.2197764292
